name,url,address,airport,distance,unit,rating,lat,long
Hotel Regina Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d207792-Reviews-Hotel_Regina_Louvre-Paris_Ile_de_France.html,"2 Place des Pyramides, 75001 Paris France",Orly Field,10,mi,5.0,48.8638221,2.3324663
Sonder Quintinie,https://www.tripadvisor.com/Hotel_Review-g187147-d570633-Reviews-Sonder_Quintinie-Paris_Ile_de_France.html,"5 Rue la Quintinie, 75015 Paris France",Orly Field,8,mi,3.0,48.8391712,2.3065751
"Holiday Inn Express Paris - Canal de la Villette, an IHG Hotel",https://www.tripadvisor.com/Hotel_Review-g187147-d940178-Reviews-Holiday_Inn_Express_Paris_Canal_de_la_Villette_an_IHG_Hotel-Paris_Ile_de_France.html,"68 Quai de la Seine, 75019 Paris France",Orly Field,11,mi,3.0,48.888389,2.378155
Floride Etoile Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228829-Reviews-Floride_Etoile_Hotel-Paris_Ile_de_France.html,"14 rue Saint Didier 16th Arr, 75116 Paris France",Orly Field,10,mi,3.0,48.866253,2.287879
Hotel Splendid Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d229621-Reviews-Hotel_Splendid_Etoile-Paris_Ile_de_France.html,"1 avenue Carnot, 75017 Paris France",Orly Field,11,mi,4.0,48.8747777,2.293732
Hotel Campanile Paris Bercy Village,https://www.tripadvisor.com/Hotel_Review-g187147-d233766-Reviews-Hotel_Campanile_Paris_Bercy_Village-Paris_Ile_de_France.html,"17 rue Baron le Roy, 75012 Paris France",Orly Field,7,mi,3.0,48.8352035,2.3875606
citizenM Paris Gare de Lyon,https://www.tripadvisor.com/Hotel_Review-g187147-d12455412-Reviews-CitizenM_Paris_Gare_de_Lyon_Hotel-Paris_Ile_de_France.html,"8 Rue Van Gogh, 75012 Paris France",Orly Field,8,mi,3.5,48.843709,2.371817
Hotel Moderne Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d197634-Reviews-Hotel_Moderne_Saint_Germain-Paris_Ile_de_France.html,"33 rue des Ecoles, 75005 Paris France",Orly Field,8,mi,3.0,48.8486869,2.3478836
Campanile Paris 14 - Maine Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d264552-Reviews-Campanile_Paris_14_Maine_Montparnasse-Paris_Ile_de_France.html,"146 avenue du Maine, 75014 Paris France",Orly Field,8,mi,3.0,48.8344007,2.3239495
Citadines Saint-Germain-des-Pres Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d208096-Reviews-Citadines_Saint_Germain_des_Pres_Paris-Paris_Ile_de_France.html,"53 Ter Quai des Grands Augustins, 75006 Paris France",Orly Field,9,mi,4.0,48.855287,2.341349
