restname,address_x
Il Padrino,"49 rue Custine, 75018 Paris France"
Juveniles Wine Bar,"47 rue de Richelieu, 75001 Paris France"
Le 975,"185 rue Marcadet, 75017 Paris France"
Sathees,"Marche Alimentaire Saint-Germain 4 - 8 Rue Lobineau, 75006 Paris France"
Arnaud Nicolas,"46 avenue de la Bourdonnais 46, Avenue de la Bourdonnais, 75007 Paris France"
Le Lamarck,"8 rue Lamarck, 75018 Paris France"
Le Cabanon de la Butte,"6 rue Lamarck, 75018 Paris France"
Le Ju',"16 rue des Archives, 75004 Paris France"
La Table d'Hami,"5 rue Daubenton 5, rue Daubenton, 75005 Paris France"
Lorette,"Rue Saint Lazare, 75009 Paris France"
Restaurant de la Tour,"La Motte Picquet 6 rue Desaix, 75015 Paris France"
Virtus,"29 rue de Cotte, 75012 Paris France"
Le Saotico,"96 Rue de Richelieu, 75002 Paris France"
46 & 3rd,"46 rue de Turbigo, 75003 Paris France"
Beccuti Bar,"91 rue de Rivoli, 75001 Paris France"
Cantina Chic,"14 rue de l Etoile 75017 Paris, 75017 Paris France"
Korus,"73 rue Amelot, 75011 Paris France"
Lucette fait des Crepes,"4 rue de Milan, 75009 Paris France"
Chez Marcel,"7 rue Stanislas, 75006 Paris France"
Joe Burger,"49 rue Descartes, 75005 Paris France"
Le Loubnane,"29 rue Galande, 75005 Paris France"
Les Cuivres,"68 avenue de la Republique, 75011 Paris France"
Mobster Diner,"20 rue des Boulangers 75005, 75005 Paris France"
La Reserve Du Terroir,"13 Rue Quincampoix, 75004 Paris France"
Lilane,"8 rue Gracieuse, 75005 Paris France"
La Jacobine,"59 rue Saint Andre des Arts Passage of the saint andré des arts trade, 75006 Paris France"
Olive & Thym - Par Man'ouche,"60 rue Quincampoix, 75004 Paris France"
La Pause Libanaise,"8 Rue De L'Isly, 75008 Paris France"
Substance,"18 rue de Chaillot, 75116 Paris France"
La Grande Ourse,"9 rue Georges Sache, 75014 Paris France"
Brutus - Batignolles,"99 rue des Dames, 75017 Paris France"
Santa Carne,"3 boulevard Richard Lenoir, 75011 Paris France"
BMK Paris-Bamako,"14 Rue de la Fidelite, 75010 Paris France"
Sourire Le Restaurant,"15 rue de la Sante, 75013 Paris France"
Le Petit Amalfi,"29 rue de Turin, 75008 Paris France"
Habesha,"19 rue Copreaux, 75015 Paris France"
Ze Kitchen Galerie,"4 rue des Grands Augustins, 75006 Paris France"
Lakshmi Bhavan,"57 rue Rodier, 75009 Paris France"
Kitchen Galerie Bis,"25 rue des Grands Augustins, 75006 Paris France"
Bistrot Rougemont,"10 rue Rougemont Metro Grand Boulevard, 75009 Paris France"
Petite Fleur,"5 rue Damremont, 75018 Paris France"
Les Papilles,"30 rue Gay Lussac, 75005 Paris France"
Trois Crabes,"17 rue Claude Tillier, 75012 Paris France"
Au Bourguignon du Marais,"52 rue Francois Miron 75004 PARIS, 75004 Paris France"
Casa Festa,"16 rue Jean Jacques Rousseau, 75001 Paris France"
Holybelly 5,"5 rue Lucien Sampaix, 75010 Paris France"
In Bocca al lupo,"14 rue Francoeur Montmartre Neighborhood, 75018 Paris France"
Figuig,"Rue Brey 13, 75017 Paris France"
BAFFO,"12 Rue Pecquay, 75004 Paris France"
Tonkatsu Tombo,"14 rue de l Arrivee, 75015 Paris France"
La Vie d'Ange,"41 boulevard Saint Jacques Montparnasse, 75014 Paris France"
O Soleil Couscous Maison,"21 rue de Patay, 75013 Paris France"
A modo mio,"4 rue de Turenne, 75004 Paris France"
L'Accolade,"208 rue de la Croix Nivert, 75015 Paris France"
La Scene Theleme,"18 Rue Troyon, 75017 Paris France"
LOCO,"31 bis Rue du Faubourg Montmartre, 75009 Paris France"
Chez Toinette,"20 rue Germain Pilon, 75018 Paris France"
Little Breizh,"11 rue Gregoire de Tours Métro Odéon, 75006 Paris France"
Le Louis,"31 rue Coquilliere, 75001 Paris France"
L'Innocence,"28 rue de la Tour D Auvergne, 75009 Paris France"
La Forge,"14 rue Pascal Métro Censier Daubenton, 75005 Paris France"
Restaurant la Ville de Provins Paris,"74 boulevard de Strasbourg Metro Gare de l'Est, 75010 Paris France"
Les Fines Lames,"35 rue Lepic, 75018 Paris France"
Les Trublions,"34 rue de la Montagne Ste Genevieve, 75005 Paris France"
L'Envie du Jour,"106 rue Nollet, 75017 Paris France"
Jeongane,"60 rue des Morillons, 75015 Paris France"
La Marina Restaurant japonais,"18 rue de la Michodiere, 75002 Paris France"
Papelli,"61 rue du Faubourg Saint Martin, 75010 Paris France"
Neige d'ete,"12 rue de l Amiral Roussin, 75015 Paris France"
YO,"10 rue de Port Mahon, 75002 Paris France"
Pizza Caratello,"8 rue Audran, 75018 Paris France"
Jeannot et Colin,"51 Boulevard Voltaire, 75011 Paris France"
Kitchen Terre,"26 boulevard Saint-Germain, 75005 Paris France"
Tour d'Argent,"15 quai de la Tournelle, 75005 Paris France"
Royal Dragon,"98 boulevard du Montparnasse, 75014 Paris France"
Vale&Ale,"7 rue Geoffroy Marie Grands boulevards, Folies Berger, 75009 Paris France"
Le Maharaja,"48 rue la Condamine, 75017 Paris France"
Invictus,"5 rue Sainte Beuve, 75006 Paris France"
Restaurant OXTE,"5 rue Troyon, 75017 Paris France"
L'Insoumise,"15 rue Auguste Chabrieres, 75015 Paris France"
Le Petit Champerret,"30 rue Vernier, 75017 Paris France"
Cafe Blanche,"79 rue Blanche, 75009 Paris France"
Il Carpaccio,"37 Avenue Hoche, 75008 Paris France"
le goyavier,"4 rue Saint Bernard, 75011 Paris France"
Menekse,"7 Passage de la Main D Or, 75011 Paris France"
Cafe de Paris Friedland,"45 avenue de Friedland, 75008 Paris France"
Bistrot chez France,"9 rue Amelie, 75007 Paris France"
Le Vin Coeur,"4 avenue Carnot, 75017 Paris France"
Mezze De Beyrouth,"38 rue de l ouest, 75014 Paris France"
Racina,"43 rue Descartes, 75005 Paris France"
Vava,"42 rue Veron Metro : Blanche Ou Abesses, 75018 Paris France"
Lao Chaleune,"29 Rue du Chateau-des-Rentiers, 75013 Paris France"
Thai Spices,"5 rue de l ave Maria, 75004 Paris France"
L'Alchimiste,"181 rue de Charenton, 75012 Paris France"
AU VIEUX COMPTOIR,"17 rue Lavandieres Ste Opportune proche de la place du Châtelet, 75001 Paris France"
Restaurant Le W,"5 rue de Berri Hotel le Warwick, 75008 Paris France"
Ciasa Mia,"19 rue Laplace, 75005 Paris France"
Le Kigawa,"186 rue du Chateau, 75014 Paris France"
Sapori di Parma,"56 avenue de la Bourdonnais, 75007 Paris France"
La Brasserie Thai,"5 rue Poulbot, 75018 Paris France"
Meating Corner,"8 Rue des Lombards, 75004 Paris France"
Racines Des Pres,"1 rue de Gribeauval, 75007 Paris France"
Fric-Frac Canal St-Martin,"79 quai de Valmy, 75010 Paris France"
Buono Sano Bello,"14 rue de la Villette, 75019 Paris France"
"Le Bon, La Butte","102 T rue Lepic A few meters from the Moulin de la Galette, 75018 Paris France"
Oxymore,"60 rue Saint Maur, 75011 Paris France"
Nirvana Inde,"6 rue de Moscou, 75008 Paris France"
Les Cedres du Liban,"5 avenue du Maine Métro Falguière or Montparnasse Exit number 2, 75015 Paris France"
